address,lat,lng,location_type
6916 Harvest Hill Rd,43.0783011,-89.5012778,RANGE_INTERPOLATED
4 Hidden Hollow Trl,43.0824352,-89.4980458,RANGE_INTERPOLATED
8 Hidden Hollow Trl,43.0824294,-89.4981418,RANGE_INTERPOLATED
12 Hidden Hollow Trl,43.0824247,-89.4982374,RANGE_INTERPOLATED
14 Hidden Hollow Trl,43.0824224,-89.4982852,RANGE_INTERPOLATED
16 Hidden Hollow Trl,43.0824186,-89.498332,RANGE_INTERPOLATED
18 Hidden Hollow Trl,43.0824148,-89.4983796,RANGE_INTERPOLATED
28 Hidden Hollow Trl,43.0823834,-89.4986114,RANGE_INTERPOLATED
30 Hidden Hollow Trl,43.0823732,-89.4986573,RANGE_INTERPOLATED
32 Hidden Hollow Trl,43.082363,-89.4987031,RANGE_INTERPOLATED
34 Hidden Hollow Trl,43.0823528,-89.4987545,RANGE_INTERPOLATED
36 Hidden Hollow Trl,43.0823531,-89.4988024,RANGE_INTERPOLATED
40 Hidden Hollow Trl,43.0823559,-89.4988785,RANGE_INTERPOLATED
42 Hidden Hollow Trl,43.0823823,-89.4990591,RANGE_INTERPOLATED
46 Hidden Hollow Trl,43.082413,-89.4994217,RANGE_INTERPOLATED
48 Hidden Hollow Trl,43.0824185,-89.4996057,ROOFTOP
50 Hidden Hollow Trl,43.0824016,-89.49973,RANGE_INTERPOLATED
52 Hidden Hollow Trl,43.0823792,-89.4998563,RANGE_INTERPOLATED
54 Hidden Hollow Trl,43.0823524,-89.4999825,RANGE_INTERPOLATED
56 Hidden Hollow Trl,43.0823084,-89.5000948,RANGE_INTERPOLATED
4 Oak Grove Dr,43.0784965,-89.4985708,RANGE_INTERPOLATED
9 Oak Grove Dr,43.0784632,-89.4983374,RANGE_INTERPOLATED
10 Oak Grove Dr,43.0784901,-89.4983361,RANGE_INTERPOLATED
11 Oak Grove Dr,43.0784569,-89.4982648,RANGE_INTERPOLATED
13 Oak Grove Dr,43.0784385,-89.4981961,RANGE_INTERPOLATED
14 Oak Grove Dr,43.0784621,-89.4981783,RANGE_INTERPOLATED
15 Oak Grove Dr,43.0784077,-89.4981349,RANGE_INTERPOLATED
16 Oak Grove Dr,43.0784286,-89.4981116,RANGE_INTERPOLATED
18 Oak Grove Dr,43.0783877,-89.4980541,RANGE_INTERPOLATED
19 Oak Grove Dr,43.0783281,-89.4980287,RANGE_INTERPOLATED
20 Oak Grove Dr,43.0783455,-89.4980006,RANGE_INTERPOLATED
22 Oak Grove Dr,43.0783021,-89.4979501,RANGE_INTERPOLATED
24 Oak Grove Dr,43.078278,-89.4979233,RANGE_INTERPOLATED
26 Oak Grove Dr,43.0782266,-89.4978668,RANGE_INTERPOLATED
29 Oak Grove Dr,43.0781111,-89.497787,RANGE_INTERPOLATED
31 Oak Grove Dr,43.0780612,-89.4977331,RANGE_INTERPOLATED
32 Oak Grove Dr,43.0780715,-89.4976977,RANGE_INTERPOLATED
37 Oak Grove Dr,43.077993,-89.4974822,RANGE_INTERPOLATED
6506 Old Sauk Rd,43.0752309,-89.4931869,RANGE_INTERPOLATED
6510 Old Sauk Rd,43.0752312,-89.4932446,RANGE_INTERPOLATED
1 Sauk Woods Ct,43.0758744,-89.4933741,GEOMETRIC_CENTER
9 Sauk Woods Ct,43.0758744,-89.4933741,GEOMETRIC_CENTER
3 Saukdale Trl,43.0763856,-89.5081268,RANGE_INTERPOLATED
5 Saukdale Trl,43.0763554,-89.5081244,RANGE_INTERPOLATED
7 Saukdale Trl,43.0763252,-89.5081219,RANGE_INTERPOLATED
9 Saukdale Trl,43.0762951,-89.5081195,RANGE_INTERPOLATED
11 Saukdale Trl,43.0762649,-89.508117,RANGE_INTERPOLATED
15 Saukdale Trl,43.0762046,-89.5081121,RANGE_INTERPOLATED
16 Saukdale Trl,43.0761986,-89.5081486,RANGE_INTERPOLATED
17 Saukdale Trl,43.0761744,-89.5081097,RANGE_INTERPOLATED
18 Saukdale Trl,43.0761678,-89.5081461,RANGE_INTERPOLATED
19 Saukdale Trl,43.0761446,-89.5081065,RANGE_INTERPOLATED
20 Saukdale Trl,43.0761366,-89.5081425,RANGE_INTERPOLATED
21 Saukdale Trl,43.0761145,-89.5081029,RANGE_INTERPOLATED
23 Saukdale Trl,43.0760848,-89.5080987,RANGE_INTERPOLATED
710 Saukdale Way,43.075675,-89.5092146,RANGE_INTERPOLATED
722 Saukdale Way,43.0758847,-89.5094048,RANGE_INTERPOLATED
726 Saukdale Way,43.0759095,-89.5094288,RANGE_INTERPOLATED
730 Saukdale Way,43.0759344,-89.5094528,RANGE_INTERPOLATED
734 Saukdale Way,43.0759592,-89.5094768,RANGE_INTERPOLATED
738 Saukdale Way,43.0759841,-89.5095007,RANGE_INTERPOLATED
7204 Saukdale Dr,43.0764439,-89.5081453,RANGE_INTERPOLATED
7206 Saukdale Dr,43.0764431,-89.5081631,RANGE_INTERPOLATED
7208 Saukdale Dr,43.0764425,-89.508192,RANGE_INTERPOLATED
7210 Saukdale Dr,43.0764418,-89.5082209,RANGE_INTERPOLATED
7211 Saukdale Dr,43.0764142,-89.5082468,RANGE_INTERPOLATED
7213 Saukdale Dr,43.0764135,-89.5082751,RANGE_INTERPOLATED
7215 Saukdale Dr,43.0764129,-89.5083034,RANGE_INTERPOLATED
